STATE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Alabama,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5032962,5050058,5076868,5117850,5163055,5193088
Alaska,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,732906,734590,733659,734654,736537,737270
Arizona,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7186647,7274022,7370065,7452073,7556424,7623818
Arkansas,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3014399,3027127,3047429,3069856,3096080,3114791
California,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39527808,39152927,39125347,39181667,39364774,39355309
Colorado,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5786873,5814368,5853355,5912240,5988502,6012561
Connecticut,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3579643,3607765,3618707,3641369,3674449,3688496
Delaware,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,991890,1005130,1020279,1035354,1050123,1059952
District of Columbia,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,670958,669637,674501,682559,691310,693645
Florida,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21591325,21836698,22413989,22929248,23265838,23462518
Georgia,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10732595,10793038,10929992,11063669,11204208,11302748
Hawaii,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1451130,1446909,1437812,1434950,1434952,1432820
Idaho,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1849328,1904855,1942951,1970497,2000872,2029733
Illinois,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12795348,12703354,12609577,12633389,12703033,12719141
Indiana,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6790290,6814223,6841491,6881373,6934754,6973333
Iowa,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3191081,3199037,3201890,3214739,3230454,3238387
Kansas,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2938274,2938966,2938034,2949749,2965252,2977220
Kentucky,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4508271,4508348,4521238,4549953,4584046,4606864
Louisiana,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4652145,4628595,4600892,4598777,4614878,4618189
Maine,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1364546,1379009,1391585,1401992,1408438,1414874
Maryland,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6178387,6176035,6183257,6204927,6245314,6265347
