STATE/REGION,EXPORT_VAL,EXP_NAICS,EXP_NAICS_DESC,YEAR,EXP_LEVEL,GDP_CODE
AK,1571709831,21,"OIL, GAS, MINERALS AND ORES",2013,2,21
AK,6472832,93,USED OR SECOND-HAND MERCHANDISE,2013,2,NA
AK,52672161,336,TRANSPORTATION EQUIPMENT,2013,3,NA
AK,148423968,33,"MANUFACTURING, PART 3",2013,2,31-33
AK,95573,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
AK,2322966,325,CHEMICALS,2013,3,325
AK,32709068,331,PRIMARY METAL MANUFACTURING,2013,3,331
AK,1348992,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AK,46399934,3364,AEROSPACE PRODUCTS AND PARTS,2013,4,NA
AK,315170525,32,"MANUFACTURING, PART 2",2013,2,31-33
AK,416503,3256,"SOAPS, CLEANING COMPOUNDS, AND TOILET PREPARATIONS",2013,4,325
AK,11018,3119,"FOODS, NESOI",2013,4,311-312
AK,2251456,321,WOOD PRODUCTS,2013,3,321
AK,312926,3259,OTHER CHEMICAL PRODUCTS AND PREPARATIONS,2013,4,325
AK,370778,91,WASTE AND SCRAP,2013,2,NA
AK,2234740,3353,ELECTRICAL EQUIPMENT,2013,4,335
AK,50443576,211,OIL AND GAS,2013,3,211
AK,2461935854,11,AGRICULTURE AND LIVESTOCK PRODUCTS,2013,2,11
AK,26711242,2121,COAL AND PETROLEUM GASES,2013,4,212
AK,1494547063,2122,METAL ORES,2013,4,212
AK,916375,111,AGRICULTURAL PRODUCTS,2013,3,111-112
AK,56063,1112,VEGETABLES AND MELONS,2013,4,111-112
AK,22293512,31,"MANUFACTURING, PART1",2013,2,31-33
AK,485888005,31-33,MANUFACTURED GOODS,2013,2,31-33
AL,1383657825,21,"OIL, GAS, MINERALS AND ORES",2013,2,21
AL,24797644,93,USED OR SECOND-HAND MERCHANDISE,2013,2,NA
AL,8466835568,336,TRANSPORTATION EQUIPMENT,2013,3,NA
AL,12437969538,33,"MANUFACTURING, PART 3",2013,2,31-33
AL,244242,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
AL,2491614257,325,CHEMICALS,2013,3,325
AL,1453638450,331,PRIMARY METAL MANUFACTURING,2013,3,331
AL,62002403,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AL,773985726,3364,AEROSPACE PRODUCTS AND PARTS,2013,4,NA
AL,365247,3118,BAKERY AND TORTILLA PRODUCTS,2013,4,311-312
AL,4075923862,32,"MANUFACTURING, PART 2",2013,2,31-33
AL,50264545,3256,"SOAPS, CLEANING COMPOUNDS, AND TOILET PREPARATIONS",2013,4,325
AL,21991814,3119,"FOODS, NESOI",2013,4,311-312
AL,253417449,321,WOOD PRODUCTS,2013,3,321
AL,72843755,3259,OTHER CHEMICAL PRODUCTS AND PREPARATIONS,2013,4,325
AL,233434978,335,"ELECTRICAL EQUIPMENT, APPLIANCES, AND COMPONENT",2013,3,335
AK,666230,1119,OTHER AGRICULTURAL PRODUCTS,2013,4,111-112
AL,56541220,1119,OTHER AGRICULTURAL PRODUCTS,2013,4,111-112
AK,745443,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
AL,90373725,112,LIVESTOCK AND LIVESTOCK PRODUCTS,2013,3,111-112
AL,27036710,3111,ANIMAL FOODS,2013,4,311-312
AK,1465060,3116,MEAT PRODUCTS AND MEAT PACKAGING PRODUCTS,2013,4,311-312
AL,443297655,3116,MEAT PRODUCTS AND MEAT PACKAGING PRODUCTS,2013,4,311-312
AK,156597,1123,POULTRY AND EGGS,2013,4,111-112
AK,147256,3112,GRAIN AND OILSEED MILLING PRODUCTS,2013,4,311-312
AL,90196618,1123,POULTRY AND EGGS,2013,4,111-112
AL,68502801,3112,GRAIN AND OILSEED MILLING PRODUCTS,2013,4,311-312
AK,39061,1125,FARMED FISH AND RELATED PRODUCTS,2013,4,111-112
AK,549785,1129,OTHER ANIMALS,2013,4,111-112
AL,177107,1129,OTHER ANIMALS,2013,4,111-112
AK,198844,3114,FRUIT AND VEGETABLE PRESERVES AND SPECIALTY FOODS,2013,4,311-312
AL,1337991,3114,FRUIT AND VEGETABLE PRESERVES AND SPECIALTY FOODS,2013,4,311-312
AK,162581556,113,"FORESTRY PRODUCTS, NESOI",2013,3,113-115
AL,28821421,113,"FORESTRY PRODUCTS, NESOI",2013,3,113-115
AK,4527821865,-,TOTAL FOR ALL NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) CODES,2013,1,..0
AK,162581556,1133,TIMBER AND LOGS,2013,4,113-115
AL,28542108,1133,TIMBER AND LOGS,2013,4,113-115
AK,2297692480,114,"FISH, FRESH, CHILLED, OR FROZEN AND OTHER MARINE PRODUCTS",2013,3,113-115
AL,4639580,114,"FISH, FRESH, CHILLED, OR FROZEN AND OTHER MARINE PRODUCTS",2013,3,113-115
AK,2297692480,1141,"FISH, FRESH, CHILLED OR FROZEN AND OTHER MARINE PRODUCTS",2013,4,113-115
AL,4639580,1141,"FISH, FRESH, CHILLED OR FROZEN AND OTHER MARINE PRODUCTS",2013,4,113-115
AK,21229,3141,TEXTILE FURNISHINGS,2013,4,313-314
AK,45797,3231,"PRINTED MATTER AND RELATED PRODUCT, NESOI",2013,4,323
AL,17477224,3141,TEXTILE FURNISHINGS,2013,4,313-314
AL,4932978,3231,"PRINTED MATTER AND RELATED PRODUCT, NESOI",2013,4,323
AK,109474,3279,OTHER NONMETALLIC MINERAL PRODUCTS,2013,4,327
AK,14452664,3331,AGRICULTURE AND CONSTRUCTION  MACHINERY,2013,4,333
AL,48700548,3279,OTHER NONMETALLIC MINERAL PRODUCTS,2013,4,327
AL,166597115,3331,AGRICULTURE AND CONSTRUCTION  MACHINERY,2013,4,333
AK,78432,3332,INDUSTRIAL MACHINERY,2013,4,333
AL,32464918,3332,INDUSTRIAL MACHINERY,2013,4,333
AK,667423,3149,OTHER TEXTILE PRODUCTS,2013,4,313-314
AL,21824194,3149,OTHER TEXTILE PRODUCTS,2013,4,313-314
AK,308714629,324,PETROLEUM AND COAL PRODUCTS,2013,3,324
AK,308714629,3241,PETROLEUM AND COAL PRODUCTS,2013,4,324
AL,97877566,324,PETROLEUM AND COAL PRODUCTS,2013,3,324
AL,97877566,3241,PETROLEUM AND COAL PRODUCTS,2013,4,324
AK,2154796,3333,COMMERCIAL AND SERVICE INDUSTRY MACHINERY,2013,4,333
AL,73319466,3333,COMMERCIAL AND SERVICE INDUSTRY MACHINERY,2013,4,333
AK,4445059,3361,MOTOR VEHICLES,2013,4,3361-3363
AL,6493938157,3361,MOTOR VEHICLES,2013,4,3361-3363
AK,191194,315,APPAREL AND ACCESSORIES,2013,3,315-316
AL,11724709,315,APPAREL AND ACCESSORIES,2013,3,315-316
AK,669036,3334,"VENTILATION, HEATING, AIR-CONDITIONING, AND COMMERCIAL REFRIGERATION EQUIPMENT",2013,4,333
AL,21078246,3334,"VENTILATION, HEATING, AIR-CONDITIONING, AND COMMERCIAL REFRIGERATION EQUIPMENT",2013,4,333
AK,489497,3362,MOTOR VEHICLE BODIES AND TRAILERS,2013,4,3361-3363
AL,151639695,3362,MOTOR VEHICLE BODIES AND TRAILERS,2013,4,3361-3363
AK,2864,3151,KNIT APPAREL,2013,4,315-316
AL,1137550,3151,KNIT APPAREL,2013,4,315-316
AK,188330,3152,APPAREL,2013,4,315-316
AL,9882985,3152,APPAREL,2013,4,315-316
AK,1114772,3251,BASIC CHEMICALS,2013,4,325
AK,10409666,3311,IRON AND STEEL AND FERROALLOY,2013,4,331
AL,1424832867,3251,BASIC CHEMICALS,2013,4,325
AL,1064569013,3311,IRON AND STEEL AND FERROALLOY,2013,4,331
AK,25824,3335,METALWORKING MACHINERY,2013,4,333
AK,556970,3363,MOTOR VEHICLE PARTS,2013,4,3361-3363
AL,112991339,3335,METALWORKING MACHINERY,2013,4,333
AL,956087197,3363,MOTOR VEHICLE PARTS,2013,4,3361-3363
AK,454453,3252,"RESIN, SYNTHETIC RUBBER, & ARTIFICIAL & SYNTHETIC FIBERS & FILIMENT",2013,4,325
AL,873112396,3252,"RESIN, SYNTHETIC RUBBER, & ARTIFICIAL & SYNTHETIC FIBERS & FILIMENT",2013,4,325
AK,37064,3313,ALUMINA AND ALUMINUM AND PROCESSING,2013,4,331
AL,1574806,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2013,4,331
AL,191895787,3313,ALUMINA AND ALUMINUM AND PROCESSING,2013,4,331
AK,7909861,3336,"ENGINES, TURBINES, AND POWER TRANSMISSION EQUIPMENT",2013,4,333
AL,256572742,3336,"ENGINES, TURBINES, AND POWER TRANSMISSION EQUIPMENT",2013,4,333
AK,74300,316,LEATHER AND ALLIED PRODUCTS,2013,3,315-316
AL,9394333,316,LEATHER AND ALLIED PRODUCTS,2013,3,315-316
AK,13435,3253,"PESTICIDES, FERTILIZERS AND OTHER AGRICULTURAL CHEMICALS",2013,4,325
AL,18871750,3253,"PESTICIDES, FERTILIZERS AND OTHER AGRICULTURAL CHEMICALS",2013,4,325
AK,22262338,3314,NONFERROUS METAL (EXCEPT ALUMINUM) AND PROCESSING,2013,4,331
AK,2417991,3339,OTHER GENERAL PURPOSE MACHINERY,2013,4,333
AL,180580110,3314,NONFERROUS METAL (EXCEPT ALUMINUM) AND PROCESSING,2013,4,331
AL,200568362,3339,OTHER GENERAL PURPOSE MACHINERY,2013,4,333
AK,3000,3365,RAILROAD ROLLING STOCK,2013,4,NA
AL,45594578,3365,RAILROAD ROLLING STOCK,2013,4,NA
AK,132831,3366,SHIPS AND BOATS,2013,4,NA
AL,28573195,3366,SHIPS AND BOATS,2013,4,NA
AK,21574,3161,LEATHER AND HIDE TANNING,2013,4,315-316
AL,589018,3161,LEATHER AND HIDE TANNING,2013,4,315-316
AK,25442922,334,COMPUTER AND ELECTRONIC PRODUCTS,2013,3,334
AL,15018734,3315,FOUNDRIES,2013,4,331
AL,552100625,334,COMPUTER AND ELECTRONIC PRODUCTS,2013,3,334
AK,644870,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
AL,17017020,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
AK,52726,3169,OTHER LEATHER PRODUCTS,2013,4,315-316
AL,8382444,3169,OTHER LEATHER PRODUCTS,2013,4,315-316
AK,10877,3255,"PAINTS, COATINGS, AND ADHESIVES",2013,4,325
AL,31106044,3255,"PAINTS, COATINGS, AND ADHESIVES",2013,4,325
AK,3235434,332,"FABRICATED METAL PRODUCTS, NESOI",2013,3,332
AL,463016312,332,"FABRICATED METAL PRODUCTS, NESOI",2013,3,332
AK,364301,3341,COMPUTER EQUIPMENT,2013,4,334
AL,148765333,3341,COMPUTER EQUIPMENT,2013,4,334
AK,44270,337,FURNITURE AND FIXTURES,2013,3,337
AL,52626471,337,FURNITURE AND FIXTURES,2013,3,337
AK,19287851,3117,"SEAFOOD PRODUCTS PREPARED, CANNED AND PACKAGED",2013,4,311-312
AK,304453,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
AL,79378088,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
AK,193122,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AK,31353,3371,HOUSEHOLD AND INSTITUTIONAL FURNITURE AND KITCHEN CABINETS,2013,4,337
AL,11267535,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AL,24475900,3371,HOUSEHOLD AND INSTITUTIONAL FURNITURE AND KITCHEN CABINETS,2013,4,337
AK,1246540,326,PLASTICS AND RUBBER PRODUCTS,2013,3,326
AK,73038,3322,CUTLERY AND HANDTOOLS,2013,4,332
AL,397515527,326,PLASTICS AND RUBBER PRODUCTS,2013,3,326
AL,5410182,3322,CUTLERY AND HANDTOOLS,2013,4,332
AK,470248,3323,ARCHITECTURAL AND STRUCTURAL METALS,2013,4,332
AK,9804637,3344,SEMICONDUCTORS AND OTHER ELECTRONIC COMPONENTS,2013,4,334
AK,12917,3372,OFFICE FURNITURE (INCLUDING FIXTURES),2013,4,337
AL,101328386,3344,SEMICONDUCTORS AND OTHER ELECTRONIC COMPONENTS,2013,4,334
AL,28137157,3372,OFFICE FURNITURE (INCLUDING FIXTURES),2013,4,337
AK,138994,312,BEVERAGES AND TOBACCO PRODUCTS,2013,3,311-312
AL,2567886,312,BEVERAGES AND TOBACCO PRODUCTS,2013,3,311-312
AK,2222601,3211,SAWMILL AND WOOD PRODUCTS,2013,4,321
AL,147724340,3211,SAWMILL AND WOOD PRODUCTS,2013,4,321
AK,547414,3261,PLASTICS PRODUCTS,2013,4,326
AL,149018276,3261,PLASTICS PRODUCTS,2013,4,326
AL,51264958,3323,ARCHITECTURAL AND STRUCTURAL METALS,2013,4,332
AK,333056,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AL,102555837,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AK,14738511,3345,"NAVIGATIONAL, MEASURING, ELECTROMEDICAL, AND CONTROL INSTRUMENTS",2013,4,334
AL,158878014,3345,"NAVIGATIONAL, MEASURING, ELECTROMEDICAL, AND CONTROL INSTRUMENTS",2013,4,334
AL,13414,3379,"FURNITURE RELATED PRODUCTS, NESOI",2013,4,337
AK,973496,339,MISCELLANEOUS MANUFACTURED COMMODITIES,2013,3,339
AL,352724946,339,MISCELLANEOUS MANUFACTURED COMMODITIES,2013,3,339
AK,138994,3121,BEVERAGES,2013,4,311-312
AL,335318,3121,BEVERAGES,2013,4,311-312
AK,17423,3212,"VENEER, PLYWOOD, AND ENGINEERED WOOD PRODUCTS",2013,4,321
AL,26084730,3212,"VENEER, PLYWOOD, AND ENGINEERED WOOD PRODUCTS",2013,4,321
AK,11432,3219,OTHER WOOD PRODUCTS,2013,4,321
AK,699126,3262,RUBBER PRODUCTS,2013,4,326
AL,79608379,3219,OTHER WOOD PRODUCTS,2013,4,321
AK,93901,3325,HARDWARE,2013,4,332
AL,248497251,3262,RUBBER PRODUCTS,2013,4,326
AL,54608926,3325,HARDWARE,2013,4,332
AK,37898,3346,MAGNETIC AND OPTICAL MEDIA,2013,4,334
AL,52483269,3346,MAGNETIC AND OPTICAL MEDIA,2013,4,334
AK,232917,3391,MEDICAL EQUIPMENT AND SUPPLIES,2013,4,339
AL,292069472,3391,MEDICAL EQUIPMENT AND SUPPLIES,2013,4,339
AK,90343,313,TEXTILES AND FABRICS,2013,3,313-314
AL,250830434,313,TEXTILES AND FABRICS,2013,3,313-314
AK,374660,322,PAPER,2013,3,322
AL,733458144,322,PAPER,2013,3,322
AK,214477,327,NONMETALLIC MINERAL PRODUCTS,2013,3,327
AK,56985,3326,SPRINGS AND WIRE PRODUCTS,2013,4,332
AL,97107941,327,NONMETALLIC MINERAL PRODUCTS,2013,3,327
AK,5638013,335,"ELECTRICAL EQUIPMENT, APPLIANCES, AND COMPONENT",2013,3,335
AL,20992712,3326,SPRINGS AND WIRE PRODUCTS,2013,4,332
AK,740579,3399,MISCELLANEOUS MANUFACTURED COMMODITIES,2013,4,339
AK,131350,3221,"PULP, PAPER, AND PAPERBOARD MILL PRODUCTS",2013,4,322
AK,40210,3271,CLAY AND REFRACTORY PRODUCTS,2013,4,327
AK,61373,3327,"BOLTS, NUTS, SCREWS, RIVETS, WASHERS AND OTHER TURNED PRODUCTS",2013,4,332
AK,6060,3351,ELECTRIC LIGHTING EQUIPMENT,2013,4,335
AK,90343,3132,FABRICS,2013,4,313-314
AK,243310,3222,CONVERTED PAPER PRODUCTS,2013,4,322
AK,64793,3272,GLASS AND GLASS PRODUCTS,2013,4,327
AK,2146833,3329,OTHER FABRICATED METAL PRODUCTS,2013,4,332
AK,2151567,3352,"HOUSEHOLD APPLIANCES AND MISCELLANEOUS MACHINES, NESOI",2013,4,335
AK,688652,314,TEXTILE MILL PRODUCTS,2013,3,313-314
AK,45797,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",2013,3,323
AK,27708604,333,"MACHINERY, EXCEPT ELECTRICAL",2013,3,333
AK,1245646,3359,"ELECTRICAL EQUIPMENT AND COMPONENTS, NESOI",2013,4,335
AK,21110029,311,FOOD AND KINDRED PRODUCTS,2013,3,311-312
AK,50443576,2111,OIL AND GAS,2013,4,211
AK,1521266255,212,MINERALS AND ORES,2013,3,212
AK,7950,2123,NONMETALLIC MINERALS,2013,4,212
AK,35200,1111,OILSEEDS AND GRAINS,2013,4,111-112
AK,158882,1113,FRUITS AND TREE NUTS,2013,4,111-112
AL,2778882,3113,SUGAR AND CONFECTIONERY PRODUCTS,2013,4,311-312
AL,2829252,3115,DAIRY PRODUCTS,2013,4,311-312
AL,279313,1132,FORESTRY PRODUCTS,2013,4,113-115
AL,19301321716,-,TOTAL FOR ALL NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) CODES,2013,1,..0
AL,704174,3159,APPAREL ACCESSORIES,2013,4,315-316
AL,422871,3162,FOOTWEAR,2013,4,315-316
AL,20582900,3254,PHARMACEUTICALS AND MEDICINES,2013,4,325
AL,34290110,3321,"CROWNS, CLOSURES, SEALS AND OTHER PACKING ACCESSORIES",2013,4,332
AL,2232568,3122,TOBACCO PRODUCTS,2013,4,311-312
AL,60655474,3399,MISCELLANEOUS MANUFACTURED COMMODITIES,2013,4,339
AL,680068974,3221,"PULP, PAPER, AND PAPERBOARD MILL PRODUCTS",2013,4,322
AL,28566480,3271,CLAY AND REFRACTORY PRODUCTS,2013,4,327
AL,16500137,3327,"BOLTS, NUTS, SCREWS, RIVETS, WASHERS AND OTHER TURNED PRODUCTS",2013,4,332
AL,9891841,3351,ELECTRIC LIGHTING EQUIPMENT,2013,4,335
AL,191392107,91,WASTE AND SCRAP,2013,2,NA
AL,56294404,3132,FABRICS,2013,4,313-314
AL,14931306,3133,FINISHED AND COATED TEXTILE FABRICS,2013,4,313-314
AL,53389170,3222,CONVERTED PAPER PRODUCTS,2013,4,322
AL,17424764,3272,GLASS AND GLASS PRODUCTS,2013,4,327
