YEAR,STATE/REGION,GDP_EXP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2010,AK,4154776632,Alaska,..0,All industry total,1,53654000000.0,713982,713982
2010,AL,15495257436,Alabama,..0,All industry total,1,177510700000.0,4785514,4785514
2010,AR,5219461184,Arkansas,..0,All industry total,1,101699300000.0,2921998,2921998
2010,AZ,15720859418,Arizona,..0,All industry total,1,250527000000.0,6407342,6407342
2010,CA,143208226608,California,..0,All industry total,1,1938603300000.0,37319550,37319550
2010,CO,6726497299,Colorado,..0,All industry total,1,256771800000.0,5047539,5047539
2010,CT,16028821292,Connecticut,..0,All industry total,1,234022200000.0,3579173,3579173
2010,DE,4945070165,Delaware,..0,All industry total,1,58132200000.0,899647,899647
2010,FL,55399353874,Florida,..0,All industry total,1,752998400000.0,18846143,18846143
2010,GA,28898749200,Georgia,..0,All industry total,1,419013100000.0,9712209,9712209
2010,HI,684102935,Hawaii,..0,All industry total,1,66739300000.0,1364004,1364004
2010,IA,10879762927,Iowa,..0,All industry total,1,142497700000.0,3050819,3050819
2010,ID,5156539809,Idaho,..0,All industry total,1,56086200000.0,1570819,1570819
2010,IL,50060707025,Illinois,..0,All industry total,1,663929000000.0,12840545,12840545
2010,IN,28764260136,Indiana,..0,All industry total,1,284685800000.0,6490555,6490555
2010,KS,9899680110,Kansas,..0,All industry total,1,129235700000.0,2858266,2858266
2010,KY,19346214603,Kentucky,..0,All industry total,1,166656300000.0,4348464,4348464
2010,LA,41370690441,Louisiana,..0,All industry total,1,226555600000.0,4544635,4544635
2010,MA,26304882035,Massachusetts,..0,All industry total,1,409270000000.0,6566440,6566440
2010,MD,10167475739,Maryland,..0,All industry total,1,313930500000.0,5788784,5788784
2010,ME,3162186695,Maine,..0,All industry total,1,52802500000.0,1327651,1327651
2010,MI,44851338759,Michigan,..0,All industry total,1,393179600000.0,9877597,9877597
2010,MN,18903679573,Minnesota,..0,All industry total,1,274649200000.0,5310934,5310934
2010,MO,12924556333,Missouri,..0,All industry total,1,262013400000.0,5996089,5996089
2010,MS,8223946006,Mississippi,..0,All industry total,1,94788300000.0,2970615,2970615
2010,MT,1393457515,Montana,..0,All industry total,1,38080300000.0,990730,990730
2010,NC,24917912305,North Carolina,..0,All industry total,1,422282200000.0,9574586,9574586
2010,ND,2532206235,North Dakota,..0,All industry total,1,35651800000.0,674752,674752
2010,NE,5820958718,Nebraska,..0,All industry total,1,91940700000.0,1829591,1829591
2010,NH,4368161140,New Hampshire,..0,All industry total,1,65310800000.0,1316807,1316807
2010,NJ,32130944531,New Jersey,..0,All industry total,1,491229000000.0,8799451,8799451
2010,NM,1542649869,New Mexico,..0,All industry total,1,84862600000.0,2064614,2064614
2010,NV,5912569270,Nevada,..0,All industry total,1,125149000000.0,2702483,2702483
2010,NY,69684943969,New York,..0,All industry total,1,1217748000000.0,19399956,19399956
2010,OH,41504651676,Ohio,..0,All industry total,1,500274200000.0,11539449,11539449
2010,OK,5354115399,Oklahoma,..0,All industry total,1,155267500000.0,3760014,3760014
2010,OR,17684177481,Oregon,..0,All industry total,1,163150500000.0,3837614,3837614
2010,PA,34942927237,Pennsylvania,..0,All industry total,1,604629600000.0,12711406,12711406
2010,RI,1948784173,Rhode Island,..0,All industry total,1,49409100000.0,1053994,1053994
2010,SC,20335645295,South Carolina,..0,All industry total,1,166767400000.0,4635846,4635846
2010,SD,1259405035,South Dakota,..0,All industry total,1,38208200000.0,816193,816193
2010,TN,25947896703,Tennessee,..0,All industry total,1,258657600000.0,6355518,6355518
2010,TX,206992356499,Texas,..0,All industry total,1,1255660800000.0,25241897,25241897
2010,UT,13808477247,Utah,..0,All industry total,1,118296300000.0,2775413,2775413
2010,VA,17168563818,Virginia,..0,All industry total,1,425490800000.0,8024004,8024004
2010,VT,4278137163,Vermont,..0,All industry total,1,27478300000.0,625886,625886
2010,WA,53345329885,Washington,..0,All industry total,1,363544200000.0,6743009,6743009
2010,WI,19800247695,Wisconsin,..0,All industry total,1,256159500000.0,5690538,5690538
2010,WV,6443030890,West Virginia,..0,All industry total,1,66160399999.99999,1854265,1854265
2010,WY,983304393,Wyoming,..0,All industry total,1,37567500000.0,564531,564531
2011,AK,5258939493,Alaska,..0,All industry total,1,56912300000.0,722349,722349
2011,AL,17927675723,Alabama,..0,All industry total,1,182896700000.0,4799642,4799642
2011,AR,5610951001,Arkansas,..0,All industry total,1,105697600000.0,2941038,2941038
2011,AZ,17884512214,Arizona,..0,All industry total,1,261691400000.0,6473416,6473416
2011,CA,159421393886,California,..0,All industry total,1,2014050300000.0,37636311,37636311
2011,CO,7338212066,Colorado,..0,All industry total,1,266114099999.99997,5121900,5121900
2011,CT,16232753929,Connecticut,..0,All industry total,1,233058700000.0,3588632,3588632
2011,DE,5516259705,Delaware,..0,All industry total,1,61379400000.0,907590,907590
2011,FL,65009786038,Florida,..0,All industry total,1,761043100000.0,19055607,19055607
2011,GA,34863073945,Georgia,..0,All industry total,1,433137100000.0,9803630,9803630
2011,HI,884370236,Hawaii,..0,All industry total,1,68801100000.0,1379562,1379562
2011,IA,13316520712,Iowa,..0,All industry total,1,149026100000.0,3066772,3066772
2011,ID,5912953426,Idaho,..0,All industry total,1,57418200000.0,1584272,1584272
2011,IL,64902904219,Illinois,..0,All industry total,1,691805500000.0,12867783,12867783
2011,IN,32332054981,Indiana,..0,All industry total,1,292373800000.0,6517250,6517250
2011,KS,11623395759,Kansas,..0,All industry total,1,136747100000.0,2869677,2869677
2011,KY,20118878938,Kentucky,..0,All industry total,1,171238100000.0,4370817,4370817
2011,LA,54971153986,Louisiana,..0,All industry total,1,230518700000.0,4576244,4576244
2011,MA,27870976882,Massachusetts,..0,All industry total,1,423684900000.0,6614218,6614218
2011,MD,10862556152,Maryland,..0,All industry total,1,324920900000.0,5840241,5840241
2011,ME,3422092609,Maine,..0,All industry total,1,53104500000.0,1328473,1328473
2011,MI,51063992243,Michigan,..0,All industry total,1,408354100000.0,9883053,9883053
2011,MN,20732142776,Minnesota,..0,All industry total,1,287070800000.0,5346620,5346620
2011,MO,14161092655,Missouri,..0,All industry total,1,263330000000.0,6011182,6011182
2011,MS,10938941186,Mississippi,..0,All industry total,1,96799100000.0,2979147,2979147
2011,MT,1591805934,Montana,..0,All industry total,1,40592300000.0,997518,997518
2011,NC,27067046870,North Carolina,..0,All industry total,1,430040100000.0,9658913,9658913
2011,ND,3392765415,North Dakota,..0,All industry total,1,41602100000.0,685526,685526
2011,NE,7587579923,Nebraska,..0,All industry total,1,100526500000.0,1840914,1840914
2011,NH,4306552050,New Hampshire,..0,All industry total,1,66557300000.0,1320444,1320444
2011,NJ,38172316758,New Jersey,..0,All industry total,1,494292800000.0,8828552,8828552
2011,NM,2095859917,New Mexico,..0,All industry total,1,87056000000.0,2080707,2080707
2011,NV,7989585602,Nevada,..0,All industry total,1,128638400000.0,2713114,2713114
2011,NY,84999347161,New York,..0,All industry total,1,1245769400000.0,19499921,19499921
2011,OH,46457638989,Ohio,..0,All industry total,1,525456400000.0,11545735,11545735
2011,OK,6227675655,Oklahoma,..0,All industry total,1,167207900000.0,3788824,3788824
2011,OR,18316969121,Oregon,..0,All industry total,1,169693800000.0,3872672,3872672
2011,PA,41103128737,Pennsylvania,..0,All industry total,1,623767900000.0,12747052,12747052
2011,RI,2288561451,Rhode Island,..0,All industry total,1,50123700000.0,1053829,1053829
