REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Alabama,AL,..0,All industry total,1,2010,177510700000.0,4785514
Alabama,AL,..1,Private industries,1,2010,146050800000.0,4785514
Alabama,AL,11,"Agriculture, forestry, fishing and hunting",2,2010,1910500000.0,4785514
Alabama,AL,111-112,Farms,3,2010,1382800000.0,4785514
Alabama,AL,113-115,"Forestry, fishing, and related activities",3,2010,527700000.00000006,4785514
Alabama,AL,21,"Mining, quarrying, and oil and gas extraction",2,2010,3080900000.0,4785514
Alabama,AL,211,Oil and gas extraction,3,2010,885600000.0,4785514
Alabama,AL,212,Mining (except oil and gas),3,2010,2098699999.9999998,4785514
Alabama,AL,213,Support activities for mining,3,2010,96600000.0,4785514
Alabama,AL,22,Utilities,2,2010,5579100000.0,4785514
Alabama,AL,23,Construction,2,2010,6836600000.0,4785514
Alabama,AL,31-33,Manufacturing,2,2010,27327300000.0,4785514
Alabama,AL,"321,327-339",Durable goods manufacturing,0,2010,16145400000.0,4785514
Alabama,AL,321,Wood product manufacturing,3,2010,911500000.0,4785514
Alabama,AL,327,Nonmetallic mineral product manufacturing,3,2010,725400000.0,4785514
Alabama,AL,331,Primary metal manufacturing,3,2010,2668400000.0,4785514
Alabama,AL,332,Fabricated metal product manufacturing,3,2010,1971900000.0,4785514
Alabama,AL,333,Machinery manufacturing,3,2010,947400000.0,4785514
Alabama,AL,334,Computer and electronic product manufacturing,3,2010,1137400000.0,4785514
Alabama,AL,335,"Electrical equipment, appliance, and component manufacturing",3,2010,550800000.0,4785514
Alabama,AL,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",4,2010,3083600000.0,4785514
Alabama,AL,"3364-3466,3369",Other transportation equipment manufacturing,4,2010,3082900000.0,4785514
Alabama,AL,337,Furniture and related product manufacturing,3,2010,548200000.0,4785514
Alabama,AL,339,Miscellaneous manufacturing,3,2010,517799999.99999994,4785514
Alabama,AL,"311-316,322-326",Nondurable goods manufacturing,0,2010,11181900000.0,4785514
Alabama,AL,311-312,Food and beverage and tobacco product manufacturing,3,2010,1996300000.0,4785514
Alabama,AL,313-314,Textile mills and textile product mills,3,2010,515900000.0,4785514
Alabama,AL,315-316,"Apparel, leather, and allied product manufacturing",3,2010,266200000.0,4785514
Alabama,AL,322,Paper manufacturing,3,2010,2860900000.0,4785514
Alabama,AL,323,Printing and related support activities,3,2010,168000000.0,4785514
Alabama,AL,324,Petroleum and coal products manufacturing,3,2010,912200000.0,4785514
Alabama,AL,325,Chemical manufacturing,3,2010,3327100000.0,4785514
Alabama,AL,326,Plastics and rubber products manufacturing,3,2010,1135300000.0,4785514
Alabama,AL,42,Wholesale trade,2,2010,10073300000.0,4785514
Alabama,AL,44-45,Retail trade,2,2010,12109500000.0,4785514
Alabama,AL,48-49,Transportation and warehousing,2,2010,4638600000.0,4785514
Alabama,AL,481,Air transportation,3,2010,165000000.0,4785514
Alabama,AL,482,Rail transportation,3,2010,544700000.0,4785514
Alabama,AL,483,Water transportation,3,2010,423000000.0,4785514
Alabama,AL,484,Truck transportation,3,2010,1867400000.0,4785514
Alabama,AL,485,Transit and ground passenger transportation,3,2010,110700000.0,4785514
Alabama,AL,486,Pipeline transportation,3,2010,145300000.0,4785514
Alabama,AL,"487-488,492",Other transportation and support activities,3,2010,894000000.0,4785514
Alabama,AL,493,Warehousing and storage,3,2010,488500000.0,4785514
Alabama,AL,51,Information,2,2010,4589600000.0,4785514
Alabama,AL,511,Publishing industries (except Internet),3,2010,989400000.0,4785514
Alabama,AL,512,Motion picture and sound recording industries,3,2010,98300000.0,4785514
Alabama,AL,515-517,Broadcasting (except Internet) and telecommunications,3,2010,3116000000.0,4785514
Alabama,AL,518-519,"Data processing, hosting, and other information services",3,2010,385900000.0,4785514
Alabama,AL,"52,53","Finance, insurance, real estate, rental, and leasing",0,2010,29708700000.0,4785514
Alabama,AL,52,Finance and insurance,2,2010,9535300000.0,4785514
Alabama,AL,521-522,"Monetary Authorities- central bank, credit intermediation, and related services",3,2010,5635200000.0,4785514
Alabama,AL,523,"Securities, commodity contracts, and other financial investments and related activities",3,2010,578000000.0,4785514
Alabama,AL,524,Insurance carriers and related activities,3,2010,3317000000.0,4785514
Alabama,AL,525,"Funds, trusts, and other financial vehicles",3,2010,5100000.0,4785514
Alabama,AL,53,Real estate and rental and leasing,2,2010,20173400000.0,4785514
Alabama,AL,531,Real estate,3,2010,18573600000.0,4785514
Alabama,AL,532-533,Rental and leasing services and lessors of nonfinancial intangible assets,3,2010,1599800000.0,4785514
Alabama,AL,"54,55,56",Professional and business services,0,2010,16945500000.0,4785514
Alabama,AL,54,"Professional, scientific, and technical services",2,2010,10680900000.0,4785514
Alabama,AL,5411,Legal services,4,2010,2005800000.0,4785514
Alabama,AL,5415,Computer systems design and related services,4,2010,2381400000.0,4785514
Alabama,AL,"5412-5414,5416-5419","Miscellaneous professional, scientific, and technical services",4,2010,6293600000.0,4785514
Alabama,AL,55,Management of companies and enterprises,2,2010,1662000000.0,4785514
Alabama,AL,56,Administrative and support and waste management and remediation services,2,2010,4602700000.0,4785514
Alabama,AL,561,Administrative and support services,3,2010,3925700000.0,4785514
Alabama,AL,562,Waste management and remediation services,3,2010,677000000.0,4785514
Alabama,AL,"61,62","Educational services, health care, and social assistance",0,2010,13779400000.0,4785514
Alabama,AL,61,Educational services,2,2010,1139300000.0,4785514
Alabama,AL,62,Health care and social assistance,2,2010,12640100000.0,4785514
Alabama,AL,621,Ambulatory health care services,3,2010,7535600000.0,4785514
Alabama,AL,622,Hospitals,3,2010,3009700000.0,4785514
Alabama,AL,623,Nursing and residential care facilities,3,2010,1425900000.0,4785514
Alabama,AL,624,Social assistance,3,2010,668800000.0,4785514
Alabama,AL,"71,72","Arts, entertainment, recreation, accommodation, and food services",0,2010,4749300000.0,4785514
Alabama,AL,71,"Arts, entertainment, and recreation",2,2010,616000000.0,4785514
Alabama,AL,711-712,"Performing arts, spectator sports, museums, and related activities",3,2010,225200000.0,4785514
Alabama,AL,713,"Amusement, gambling, and recreation industries",3,2010,390800000.0,4785514
Alabama,AL,72,Accommodation and food services,2,2010,4133300000.0,4785514
Alabama,AL,721,Accommodation,3,2010,652100000.0,4785514
Alabama,AL,722,Food services and drinking places,3,2010,3481200000.0,4785514
Alabama,AL,81,Other services (except government and government enterprises),2,2010,4722600000.0,4785514
Alabama,AL,92,Government and government enterprises,2,2010,31460000000.0,4785514
Alabama,AL,..2,Federal civilian,1,2010,7496000000.0,4785514
Alabama,AL,..3,Military,1,2010,4246700000.0,4785514
Alabama,AL,..4,State and local,1,2010,19717200000.0,4785514
Alabama,AL,"11,21",Natural resources and mining,0,2010,4991400000.0,4785514
Alabama,AL,"42,44-45",Trade,0,2010,22182800000.0,4785514
